League,Year,Season,Type,blueTeamTag,bResult,rResult,redTeamTag,gamelength,blueTop,blueTopChamp,blueJungle,blueJungleChamp,blueMiddle,blueMiddleChamp,blueADC,blueADCChamp,blueSupport,blueSupportChamp,redTop,redTopChamp,redJungle,redJungleChamp,redMiddle,redMiddleChamp,redADC,redADCChamp,redSupport,redSupportChamp,Address
NALCS,2015,Spring,Season,C9,1,0,T8,35,Balls,Maokai,Meteos,Vi,Hai,Kassadin,Sneaky,Graves,LemonNation,Annie,CaliTrlolz8,Irelia,Porpoise8,JarvanIV,Slooshi8,Corki,Maplestreet8,Sivir,Dodo8,Leona,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020027?gameHash=62e360abbd8ddc56
NALCS,2015,Spring,Season,DIG,0,1,TSM,36,Gamsu,RekSai,CloudNguyen,Vi,Shiphtur,Azir,CoreJJ,Corki,KiWiKiD,Thresh,Dyrus,Maokai,Santorin,LeeSin,Bjergsen,Xerath,WildTurtle,Sivir,Lustboy,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020035?gameHash=b8637cf4aa7edc70
NALCS,2015,Spring,Season,TL,1,0,CST,43,Quas,Lissandra,IWDominate,RekSai,FeniX,Xerath,Piglet,Vayne,Xpecial,Nami,Cris,Sion,Impaler,JarvanIV,Jesiz,Cassiopeia,Mash,Sivir,Sheep,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020042?gameHash=2d6a1d82ef0f712f
NALCS,2015,Spring,Season,WFX,0,1,CLG,32,Avalon,Gnar,Helios,JarvanIV,Pobelter,Kassadin,Altec,Sivir,Gleeb,Janna,ZionSpartan,Irelia,Xmithie,Vi,Link,Nidalee,Doublelift,Jinx,Aphromoo,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020050?gameHash=ce0cb0ff15f46940
NALCS,2015,Spring,Season,C9,1,0,CST,31,Balls,Rumble,Meteos,Vi,Hai,Leblanc,Sneaky,Graves,LemonNation,Morgana,Cris,Maokai,Impaler,JarvanIV,Jesiz,Xerath,Mash,Lucian,Sheep,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020065?gameHash=0fc6e4425e0da906
NALCS,2015,Spring,Season,CLG,1,0,GV,36,ZionSpartan,Lissandra,Xmithie,LeeSin,Link,Ezreal,Doublelift,Sivir,Aphromoo,Alistar,Hauntzer,Irelia,Saintvicious,Vi,Keane,Azir,Cop,Corki,Bunny FuFuu,Janna,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020066?gameHash=5ebe8599510754b7
NALCS,2015,Spring,Season,TL,0,1,DIG,41,Quas,Maokai,IWDominate,Vi,FeniX,Ezreal,Piglet,Vayne,Xpecial,Annie,Gamsu,Rumble,CloudNguyen,JarvanIV,Shiphtur,Ahri,CoreJJ,Sivir,KiWiKiD,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020073?gameHash=ef40a808db5a979c
NALCS,2015,Spring,Season,T8,1,0,WFX,31,CaliTrlolz8,Jax,Porpoise8,RekSai,Slooshi8,Lissandra,Maplestreet8,Graves,Dodo8,Morgana,Avalon,Gnar,Helios,LeeSin,Pobelter,Lulu,Altec,Kalista,Gleeb,Annie,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020078?gameHash=ac88c9ebef96eea3
NALCS,2015,Spring,Season,TSM,1,0,TIP,30,Dyrus,Sion,Santorin,Vi,Bjergsen,Ahri,WildTurtle,Jinx,Lustboy,Janna,Impact,Maokai,Rush,LeeSin,XiaoWeiXiao,Yasuo,Apollo,Graves,Adrian,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001020083?gameHash=0ac141320e5d0d1a
NALCS,2015,Spring,Season,CST,0,1,CLG,45,Cris,Irelia,Impaler,RekSai,Jesiz,Leblanc,Mash,Kalista,Sheep,Thresh,ZionSpartan,Sion,Xmithie,JarvanIV,Link,Nidalee,Doublelift,Jinx,Aphromoo,Morgana,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001030097?gameHash=93aa539a57bd9410
